ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACION,SANEAMIENTO,ELECTRIFICACION,POBLACION,COSTA,CAPITAL,TAMANO
130200,130000,LA LIBERTAD,Ascope,0.7553,99.5,17.602,96.5098,65.4569,86.8584,120884,SI,NO,3
130300,130000,LA LIBERTAD,Bolivar,0.5894,96.7847,17.0746,59.0046,51.4671,58.9619,16910,NO,NO,1
130400,130000,LA LIBERTAD,Chepen,0.757,99.096,13.0308,92.1739,84.7516,80.7373,84037,SI,NO,2
130500,130000,LA LIBERTAD,Julcan,0.5272,97.7276,9.0297,60.0022,54.2229,36.6195,32400,NO,NO,1
130600,130000,LA LIBERTAD,Otuzco,0.5877,97.0273,11.9985,59.9136,61.6578,55.241,92237,NO,NO,2
130700,130000,LA LIBERTAD,Pacasmayo,0.7841,99.301,15.9519,93.8715,82.1331,90.1695,101954,SI,NO,3
130800,130000,LA LIBERTAD,Pataz,0.6038,95.7538,11.8223,61.6108,58.1123,66.7366,85687,NO,NO,2
130900,130000,LA LIBERTAD,Sanchez Carrion,0.4838,96.212,8.273,48.1215,39.5255,44.2572,149616,NO,NO,3
131000,130000,LA LIBERTAD,Santiago de Chuco,0.5667,98.0769,11.9058,68.7819,45.5874,51.0685,61329,NO,NO,2
131100,130000,LA LIBERTAD,Gran Chimu,0.5843,97.0097,10.7215,67.204,66.2424,43.8284,31402,NO,NO,1
131200,130000,LA LIBERTAD,Viru,0.6949,98.3704,5.9394,74.0766,84.9306,80.1798,101167,SI,NO,3
140100,140000,LAMBAYEQUE,Chiclayo,0.8317,98.4564,25.7449,88.9529,86.0233,99.5,836299,NO,SI,4
140200,140000,LAMBAYEQUE,Ferrenafe,0.6891,96.8825,14.0778,73.4821,76.3114,74.4212,104820,NO,NO,3
140300,140000,LAMBAYEQUE,Lambayeque,0.6604,97.899,8.3964,72.9188,73.0946,72.3053,288141,NO,NO,3
150100,150000,LIMA,Lima,0.8999,99.3591,38.3657,89.5797,97.5604,99.5,8481415,SI,SI,5
150200,150000,LIMA,Barranca,0.8118,99.295,21.4062,83.9918,96.9944,89.9645,143216,SI,NO,3
